"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2009","2009",18006759,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2010","2010",18513756,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2011","2011",17846787,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2012","2012",17768998,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2013","2013",17792223,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2014","2014",17944415,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2015","2015",18398266,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40606","Africa (Sub-Saharan) ","2016","2016",18717211,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2000","2000",19029928,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2001","2001",18489079,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2002","2002",18040125,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2003","2003",17194705,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2004","2004",16813567,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2005","2005",16038124,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2006","2006",15809058,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2007","2007",14234405,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2008","2008",14378926,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2009","2009",14601967,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2010","2010",15114259,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2011","2011",14315053,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2012","2012",14309048,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2013","2013",14169140,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2014","2014",14337661,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2015","2015",14693289,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40606","Africa (Sub-Saharan) ","2016","2016",14931745,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2000","2000",3276156,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2001","2001",3037081,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2002","2002",2822008,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2003","2003",2627513,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2004","2004",2471733,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2005","2005",2439308,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40617","Western Asia and Northern Africa","2006","2006",2383762,"‡","UIS Estimation"
