Indicator,Country,Year,Value
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2006,2383762
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2007,2112226
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2008,1955495
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2009,1941929
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2010,1773326
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2011,1980933
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2012,2188157
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2013,2532061
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2014,2796405
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2015,2738769
"Out-of-school children of primary school age, male (number)",Western Asia and Northern Africa,2016,2754003
"Out-of-school children of primary school age, male (number)",Africa (Northern),2000,2143489
"Out-of-school children of primary school age, male (number)",Africa (Northern),2001,1994185
"Out-of-school children of primary school age, male (number)",Africa (Northern),2002,1859173
"Out-of-school children of primary school age, male (number)",Africa (Northern),2003,1760931
"Out-of-school children of primary school age, male (number)",Africa (Northern),2004,1674145
"Out-of-school children of primary school age, male (number)",Africa (Northern),2005,1665857
"Out-of-school children of primary school age, male (number)",Africa (Northern),2006,1624204
"Out-of-school children of primary school age, male (number)",Africa (Northern),2007,1387710
"Out-of-school children of primary school age, male (number)",Africa (Northern),2008,1226462
"Out-of-school children of primary school age, male (number)",Africa (Northern),2009,1218635
"Out-of-school children of primary school age, male (number)",Africa (Northern),2010,1193866
"Out-of-school children of primary school age, male (number)",Africa (Northern),2011,1432691
"Out-of-school children of primary school age, male (number)",Africa (Northern),2012,1647459
"Out-of-school children of primary school age, male (number)",Africa (Northern),2013,1643685
"Out-of-school children of primary school age, male (number)",Africa (Northern),2014,1734396
"Out-of-school children of primary school age, male (number)",Africa (Northern),2015,1689587
"Out-of-school children of primary school age, male (number)",Africa (Northern),2016,1584499
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2000,8179863
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2001,7564388
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2002,7044597
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2003,6527087
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2004,6183143
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2005,6097862
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2006,5930064
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2007,5250396
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2008,4867786
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2009,4803542
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2010,4375958
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2011,4766152
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2012,4840218
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2013,5444849
